,brand,Name,Address,City,keyword
34,Solstice,Twelve Oaks Mall,"27322 Novi Road, Space # C-154A",Novi,"Twelve Oaks Mall, Novi, 27322 Novi Road, Space # C-154A"
35,Solstice,Lenox Square Mall,"3393 Peachtree RD NE, Space 4038",Atlanta,"Lenox Square Mall, Atlanta, 3393 Peachtree RD NE, Space 4038"
36,Solstice,Silver Sands Premium Outlet,10562 Emerald Coast Pkwy W. Suite 115,Destin,"Silver Sands Premium Outlet, Destin, 10562 Emerald Coast Pkwy W. Suite 115"
37,Solstice,Downtown Centre,897 Higuera Street,San Luis Obispo,"Downtown Centre, San Luis Obispo, 897 Higuera Street"
38,Solstice,900 North Michigan Shops,900 N. Michigan Avenue space L2-08,Chicago,"900 North Michigan Shops, Chicago, 900 N. Michigan Avenue space L2-08"
39,Solstice,Fashion Outlets of Chicago,"5220 Fashion Outlets Way, Suite 1230",Rosemont,"Fashion Outlets of Chicago, Rosemont, 5220 Fashion Outlets Way, Suite 1230"
40,Solstice,The Shops at Canal Place,"333 Canal Street, Suite 218",New Orleans,"The Shops at Canal Place, New Orleans, 333 Canal Street, Suite 218"
41,Solstice,Renaissance at Colony Park,1000 Highland Colony Parkway Suite 7003,Ridgeland,"Renaissance at Colony Park, Ridgeland, 1000 Highland Colony Parkway Suite 7003"
42,Solstice,Lakeside Galleria,"3301 Veterans Memorial Blvd., Space 71",Metairie,"Lakeside Galleria, Metairie, 3301 Veterans Memorial Blvd., Space 71"
43,Solstice,West County Mall,144 West County Center,Des Peres,"West County Mall, Des Peres, 144 West County Center"
44,Solstice,Prestige Outlets of Chesterfield,17089 N. Outer 40 Road Suite 132,Chesterfield,"Prestige Outlets of Chesterfield, Chesterfield, 17089 N. Outer 40 Road Suite 132"
45,Solstice,The Mall of Louisiana,"6401 Bluebonnet Blvd., Space 1044",Baton Rouge,"The Mall of Louisiana, Baton Rouge, 6401 Bluebonnet Blvd., Space 1044"
46,Solstice,Twin Cities at Eagan,"3925 Eagan Outlets Parkway, Suite 875",Eagan,"Twin Cities at Eagan, Eagan, 3925 Eagan Outlets Parkway, Suite 875"
47,Solstice,Mall of America,"131 West Market, Space W131",Bloomington,"Mall of America, Bloomington, 131 West Market, Space W131"
48,Solstice,Baybrook Mall,1354 Baybrook Mall,Friendswood,"Baybrook Mall, Friendswood, 1354 Baybrook Mall"
49,Solstice,The Woodlands Mall,"1201 Lake Woodlands Drive, Suite 2044",Woodlands,"The Woodlands Mall, Woodlands, 1201 Lake Woodlands Drive, Suite 2044"
50,Solstice,Houston Galleria,"5135 West Alabama, Suite 7220",Houston,"Houston Galleria, Houston, 5135 West Alabama, Suite 7220"
51,Solstice,Houston Premium Outlets,29300 Hempstead Road Suite 404,Cypress,"Houston Premium Outlets, Cypress, 29300 Hempstead Road Suite 404"
52,Solstice,Barton Creek Square,"2901 S. Capital of Texas Hwy, #E-6C",Austin,"Barton Creek Square, Austin, 2901 S. Capital of Texas Hwy, #E-6C"
53,Solstice,San Marcos Premium Outlets,"3939 Interstate Hwy 35S, Suite 1025",San Marcos,"San Marcos Premium Outlets, San Marcos, 3939 Interstate Hwy 35S, Suite 1025"
54,Solstice,Rio Grande Valley,"5001 East Expressway 83, Suite 824",Mercedes,"Rio Grande Valley, Mercedes, 5001 East Expressway 83, Suite 824"
55,Solstice,Shops at La Cantera,"15900 La Cantera Parkway, Space 26140",San Antonio,"Shops at La Cantera, San Antonio, 15900 La Cantera Parkway, Space 26140"
56,Solstice,Kierland Commons,"15034 North Scottsdale Road, Suite 105",Scottsdale,"Kierland Commons, Scottsdale, 15034 North Scottsdale Road, Suite 105"
57,Solstice,Arizona Mills Outlet,"5000 Arizona Mills Circle, Space 401",Tempe,"Arizona Mills Outlet, Tempe, 5000 Arizona Mills Circle, Space 401"
58,Solstice,Las Vegas Premium Outlets,785 South Grand Central Pkwy Suite 2109,Las Vegas,"Las Vegas Premium Outlets, Las Vegas, 785 South Grand Central Pkwy Suite 2109"
59,Solstice,Miracle Mile Shops,"3663 Las Vegas Blvd. South, Suite 495",Las Vegas,"Miracle Mile Shops, Las Vegas, 3663 Las Vegas Blvd. South, Suite 495"
60,Solstice,Desert Hills Premium Outlets,"48400 Seminole Drive, Space 320",Cabazon,"Desert Hills Premium Outlets, Cabazon, 48400 Seminole Drive, Space 320"
61,Solstice,Ontario Mills Outlet,"1 Mills Circle, Suite 315",Ontario,"Ontario Mills Outlet, Ontario, 1 Mills Circle, Suite 315"
62,Solstice,Fashion Valley Mall,7007 Friars Road Space #781,San Diego,"Fashion Valley Mall, San Diego, 7007 Friars Road Space #781"
63,Solstice,Carlsbad Premium Outlets,"5600 Paseo Del Norte, Suite A135",Carlsbad,"Carlsbad Premium Outlets, Carlsbad, 5600 Paseo Del Norte, Suite A135"
64,Solstice,Santa Anita Shopping Mall,"400 South Baldwin Ave, Suite 702-L",Arcadia,"Santa Anita Shopping Mall, Arcadia, 400 South Baldwin Ave, Suite 702-L"
65,Solstice,Glendale Galleria,"2157 Glendale Galleria, Suite CU04",Glendale,"Glendale Galleria, Glendale, 2157 Glendale Galleria, Suite CU04"
66,Solstice,Beverly Center,"8522 Beverly Boulevard, Suite 786",Los Angeles,"Beverly Center, Los Angeles, 8522 Beverly Boulevard, Suite 786"
67,Solstice,Santa Monica Place,"395 Santa Monica Place, Suite 205W",Santa Monica,"Santa Monica Place, Santa Monica, 395 Santa Monica Place, Suite 205W"
68,Solstice,Camarillo Premium Outlets,"630 Ventura Blvd., Suite 1219",Camarillo,"Camarillo Premium Outlets, Camarillo, 630 Ventura Blvd., Suite 1219"
69,Solstice,Paseo Nuevo,713 Paseo Nuevo,Santa Barbara,"Paseo Nuevo, Santa Barbara, 713 Paseo Nuevo"
70,Solstice,Vacaville Premium Outlets,340 Nut Tree Road,Vacaville,"Vacaville Premium Outlets, Vacaville, 340 Nut Tree Road"
71,Solstice,San Francisco Premium Outlets,2774 Livermore Outlets Drive,Livermore,"San Francisco Premium Outlets, Livermore, 2774 Livermore Outlets Drive"
72,Solstice,Gilroy Premium Outlets,"681 Leavesley Rd., Suite 130",Gilroy,"Gilroy Premium Outlets, Gilroy, 681 Leavesley Rd., Suite 130"
73,Solstice,Stoneridge Shopping Center,"2049 Stone Ridge Mall Rd, Space A-220",Pleasanton,"Stoneridge Shopping Center, Pleasanton, 2049 Stone Ridge Mall Rd, Space A-220"
74,Solstice,Great Mall at Milpitas,516 Great Mall Drive,Milpitas,"Great Mall at Milpitas, Milpitas, 516 Great Mall Drive"
75,Solstice,Palo Alto,4 Stanford Shopping Center,Palo Alto,"Palo Alto, Palo Alto, 4 Stanford Shopping Center"
76,Solstice,The Village at Corte Madera,1732 Redwood Highway,Corte Madera,"The Village at Corte Madera, Corte Madera, 1732 Redwood Highway"
77,Solstice,Outlets of Maui,"900 Front Street, H-3",Lahaina,"Outlets of Maui, Lahaina, 900 Front Street, H-3"
78,Solstice,Kings Shops at Waikoloa,"69-250 Waikoloa Beach Drive, Suite J105",Waikoloa,"Kings Shops at Waikoloa, Waikoloa, 69-250 Waikoloa Beach Drive, Suite J105"
79,Solstice,Waikele Premium Outlets,"94-790 Lumiaina Street, Suite 302",Waipahu,"Waikele Premium Outlets, Waipahu, 94-790 Lumiaina Street, Suite 302"
80,diffwear,Forever Faithful Boutique,"4910 N 57th street, Ste A",Lincon,"Forever Faithful Boutique, 4910 N 57th street, Ste A, Lincon"
81,diffwear,Four Sisters Boutique,2900 S 110th Court,Omaha,"Four Sisters Boutique, 2900 S 110th Court, Omaha"
82,diffwear,Bling Manhattan,321 Poyntz,Manhattan,"Bling Manhattan, 321 Poyntz, Manhattan"
83,diffwear,Wynk Boutique,5012 3rd Ave,Kearney,"Wynk Boutique, 5012 3rd Ave, Kearney"
84,diffwear,Wellington,7304 W 130th St.,Overland Park,"Wellington, 7304 W 130th St., Overland Park"
85,diffwear,Bling Kansas City,4949 W 119th St.,Overland Park,"Bling Kansas City, 4949 W 119th St., Overland Park"
86,diffwear,Amelia's Boutique,6776 W 135th St.,Overland Park,"Amelia's Boutique, 6776 W 135th St., Overland Park"
87,diffwear,Paula and Correy,5545 mills civic parkway,West Des Monies,"Paula and Correy, 5545 mills civic parkway, West Des Monies"
88,diffwear,Bling Hays,2918 Vine St.,Hays,"Bling Hays, 2918 Vine St., Hays"
89,diffwear,Bling Great Bend,2019 Lakin Ave.,Great Bend,"Bling Great Bend, 2019 Lakin Ave., Great Bend"
90,diffwear,Bling Greenwich,2684 N Greenwich Ct.,Wichita,"Bling Greenwich, 2684 N Greenwich Ct., Wichita"
91,diffwear,Bling Wichita,2441 N Maize Rd.,Wichita,"Bling Wichita, 2441 N Maize Rd., Wichita"
92,diffwear,B Fierce Boutique Inc.,207 black Forest Rd.,Hull,"B Fierce Boutique Inc., 207 black Forest Rd., Hull"
93,diffwear,Beautique,513 N Splitrock Blvd.,Brandon,"Beautique, 513 N Splitrock Blvd., Brandon"
94,diffwear,Bling Scott City,517 Main St.,Scott city,"Bling Scott City, 517 Main St., Scott city"
95,diffwear,Scott City,517 Main St.,Scott City,"Scott City, 517 Main St., Scott City"
96,diffwear,One24 Boutique,13105 kodiak road,Neosho,"One24 Boutique, 13105 kodiak road, Neosho"
97,diffwear,Bling Garden City,1680 Larue Rd.,Garden City,"Bling Garden City, 1680 Larue Rd., Garden City"
98,diffwear,Boutique Unity,1312 S Republic,Springfield,"Boutique Unity, 1312 S Republic, Springfield"
99,diffwear,Clothe Boutique,2644 S Glenstone Ave,Springfield,"Clothe Boutique, 2644 S Glenstone Ave, Springfield"
100,diffwear,Remedy Road,112 W Central Ave,Bentonville,"Remedy Road, 112 W Central Ave, Bentonville"
101,diffwear,WhimsyWhoo,1350 S Gutensohn #4,Springdale,"WhimsyWhoo, 1350 S Gutensohn #4, Springdale"
102,diffwear,Zsa Zsa and Daphne's,304 Rodgers,Sikeson,"Zsa Zsa and Daphne's, 304 Rodgers, Sikeson"
103,diffwear,E. Leighs,528 West Dickerson street,Fayetteville,"E. Leighs, 528 West Dickerson street, Fayetteville"
104,diffwear,Pinon Creek Trading Co.,112 S Main,Muskogee,"Pinon Creek Trading Co., 112 S Main, Muskogee"
105,diffwear,Hello Love Salon & Boutique,130 N Broadway Suite 140,Edmond,"Hello Love Salon & Boutique, 130 N Broadway Suite 140, Edmond"
106,diffwear,J.Lilly's Boutique,10901 NE 23rd street,oklahoma city,"J.Lilly's Boutique, 10901 NE 23rd street, oklahoma city"
107,diffwear,La Ville,15848 Fountain Plaza Drive,Chesterfield,"La Ville, 15848 Fountain Plaza Drive, Chesterfield"
108,diffwear,Expressions,122 S Main St.,Perryton,"Expressions, 122 S Main St., Perryton"
109,diffwear,The Clothing bar,2001 W. Main Street Ste. 103,Norman,"The Clothing bar, 2001 W. Main Street Ste. 103, Norman"
110,diffwear,Curtis Jewelers Inc.,110 columbia centre drive,Columbia,"Curtis Jewelers Inc., 110 columbia centre drive, Columbia"
111,diffwear,Rachel's Closet,24877 Ulysses Ct. NE,Isanti,"Rachel's Closet, 24877 Ulysses Ct. NE, Isanti"
112,diffwear,Kelley Cawley,701 first street,La Salle,"Kelley Cawley, 701 first street, La Salle"
113,diffwear,Leaning Willow,2601 E Parkway Dr.,Russellville,"Leaning Willow, 2601 E Parkway Dr., Russellville"
114,diffwear,E. Leighs,830 Front street,Conway,"E. Leighs, 830 Front street, Conway"
115,diffwear,Fun in the Sun,West Park Mall,Cape Girardeau,"Fun in the Sun, West Park Mall, Cape Girardeau"
116,diffwear,bliss boutique,132 west main street,Durant,"bliss boutique, 132 west main street, Durant"
117,diffwear,ZsaZsa & Daphne's,304 Rodgers Ave,Sikeston,"ZsaZsa & Daphne's, 304 Rodgers Ave, Sikeston"
118,diffwear,The Refinery,2303 Red Wolf Blvd.,Jonesboro,"The Refinery, 2303 Red Wolf Blvd., Jonesboro"
119,diffwear,E. Leighs,2911 Kavanaugh Blvd,Little Rock,"E. Leighs, 2911 Kavanaugh Blvd, Little Rock"
120,diffwear,Eisenhower Yacht Club,2141 Park Rd. 20,Denison,"Eisenhower Yacht Club, 2141 Park Rd. 20, Denison"
121,diffwear,Alixandra Collections,40 S Washington St.,Hindsdale,"Alixandra Collections, 40 S Washington St., Hindsdale"
122,diffwear,Kelley Cawley,545 Village Center Dr.,Burr Ridge,"Kelley Cawley, 545 Village Center Dr., Burr Ridge"
123,diffwear,The English Rose Boutique,6208 Hillside,Amarillo,"The English Rose Boutique, 6208 Hillside, Amarillo"
124,diffwear,Two Story Farmhouse,1016 North Blvd.,Oak Park,"Two Story Farmhouse, 1016 North Blvd., Oak Park"
125,diffwear,Thompson's,405 16th St.,Canyon,"Thompson's, 405 16th St., Canyon"
126,diffwear,Caldwell GIfts,804 South Falls Blvd.,Wynne,"Caldwell GIfts, 804 South Falls Blvd., Wynne"
127,diffwear,Cricket Corner,1120 US-51 B,Dyersburg,"Cricket Corner, 1120 US-51 B, Dyersburg"
128,diffwear,The Merry Magnolia,194 Military Rd.,Marion,"The Merry Magnolia, 194 Military Rd., Marion"
129,diffwear,Sugar and Spice,310 broadway,Martin,"Sugar and Spice, 310 broadway, Martin"
130,diffwear,Vintage Sweet & Chic,215 South Main St.,Breckenridge,"Vintage Sweet & Chic, 215 South Main St., Breckenridge"
131,diffwear,Cotton Island,1900 Preston Road #258,Plano,"Cotton Island, 1900 Preston Road #258, Plano"
132,diffwear,First Eye Care,100 Country view Dr.,Roanoke,"First Eye Care, 100 Country view Dr., Roanoke"
133,diffwear,Hello Daffodil,2451 Lakeside Parkway #140,Flower Mound,"Hello Daffodil, 2451 Lakeside Parkway #140, Flower Mound"
134,diffwear,Pope Eye Care,130 Eagle Ave.,Camden,"Pope Eye Care, 130 Eagle Ave., Camden"
135,diffwear,Hallie B,507 N. Goliad,Rockwall,"Hallie B, 507 N. Goliad, Rockwall"
136,diffwear,E. Leighs,1234 Main Street,Southlake,"E. Leighs, 1234 Main Street, Southlake"
137,diffwear,Pretty B,2650 32nd ave S suite V,Grand Forks,"Pretty B, 2650 32nd ave S suite V, Grand Forks"
138,diffwear,Jenny Kate Monogramming and Boutique,1426 Nail Rd. W,Horn Lake,"Jenny Kate Monogramming and Boutique, 1426 Nail Rd. W, Horn Lake"
139,diffwear,Hemline Dallas,4439 Lovers Ln.,Dallas,"Hemline Dallas, 4439 Lovers Ln., Dallas"
140,diffwear,First Eye Care,751 Mid Cities Blvd.,Hurst,"First Eye Care, 751 Mid Cities Blvd., Hurst"
141,diffwear,E. Leighs,6611 Hillcrest ave,Dallas,"E. Leighs, 6611 Hillcrest ave, Dallas"
142,diffwear,Cotton Island,6601 Hillcrest Ave Suite B,Dallas,"Cotton Island, 6601 Hillcrest Ave Suite B, Dallas"
143,diffwear,Fleurish Boutique,514 8th St.,Olton,"Fleurish Boutique, 514 8th St., Olton"
144,diffwear,Mavericks Western Wear,100 E. Exchange,Fort Worth,"Mavericks Western Wear, 100 E. Exchange, Fort Worth"
145,diffwear,Maverick Fine Western Wear,100 E Exchange Ave.,Ft. Worth,"Maverick Fine Western Wear, 100 E Exchange Ave., Ft. Worth"
146,diffwear,Epiphany Boutique,412 N Bishop Ave,Dallas,"Epiphany Boutique, 412 N Bishop Ave, Dallas"
147,diffwear,Select Shades,15837 North Fwy.,Fort Worth,"Select Shades, 15837 North Fwy., Fort Worth"
148,diffwear,Bella Ragazza Boutique,12A W. Second St.,Owensboro,"Bella Ragazza Boutique, 12A W. Second St., Owensboro"
149,diffwear,House of DIamonds,551 S Main St.,Springhill,"House of DIamonds, 551 S Main St., Springhill"
150,diffwear,the pink chandelier,100 s dobson,Burleson,"the pink chandelier, 100 s dobson, Burleson"
151,diffwear,Pink Chandelier,100 S Dobson St,Burleson,"Pink Chandelier, 100 S Dobson St, Burleson"
152,diffwear,gaudie and co,1140 boston ave,Neserland,"gaudie and co, 1140 boston ave, Neserland"
153,diffwear,Stock Style Shop,2400 Glenna Goodacre Blvd #105A,Lubbock,"Stock Style Shop, 2400 Glenna Goodacre Blvd #105A, Lubbock"
154,diffwear,Merle Norman Cosmetics,2400 Glenna Goodacre Blvd STE 105-B,Lubbock,"Merle Norman Cosmetics, 2400 Glenna Goodacre Blvd STE 105-B, Lubbock"
155,diffwear,Frost By K Malouf,5520 CR 7550,Lubbock,"Frost By K Malouf, 5520 CR 7550, Lubbock"
156,diffwear,Lovely Me Boutique,3715 63rd Drive,Lubbock,"Lovely Me Boutique, 3715 63rd Drive, Lubbock"
157,diffwear,HEMLINE - LUBBOCK,"4401 82nd Street, Suite 1100",Lubbock,"HEMLINE - LUBBOCK, 4401 82nd Street, Suite 1100, Lubbock"
158,diffwear,Blue Peppermint,8936 south st.,Fishers,"Blue Peppermint, 8936 south st., Fishers"
159,diffwear,Kut Works Boutique,118 E. Sunflower Rd A,Cleveland,"Kut Works Boutique, 118 E. Sunflower Rd A, Cleveland"
160,diffwear,Hip Chicks Boutique,115 W Main St.,Eastland,"Hip Chicks Boutique, 115 W Main St., Eastland"
161,diffwear,Favorite Sisters' Boutique,5747 Youree Drive,Shreveport,"Favorite Sisters' Boutique, 5747 Youree Drive, Shreveport"
162,diffwear,The Arrangement,357 Walnut St.,Abilene,"The Arrangement, 357 Walnut St., Abilene"
163,diffwear,Rhinestone Gypsies Boutique,139 Kent,Merkel,"Rhinestone Gypsies Boutique, 139 Kent, Merkel"
164,diffwear,Bucket Heads,4310 Buffalo Gap Rd,Abilene,"Bucket Heads, 4310 Buffalo Gap Rd, Abilene"
165,diffwear,The Bead Shack,109 W Bankhead St.,New Albany,"The Bead Shack, 109 W Bankhead St., New Albany"
166,diffwear,Tunies,1301 Herr Lane SUITE 117,Louisville,"Tunies, 1301 Herr Lane SUITE 117, Louisville"
167,diffwear,Scout and Molly's,134 Hillsboro Place,Nashville,"Scout and Molly's, 134 Hillsboro Place, Nashville"
168,diffwear,The Trendy Trunk,217 Indian Lake Blvd,Hendersonville,"The Trendy Trunk, 217 Indian Lake Blvd, Hendersonville"
169,diffwear,M & S Pharmacy,917 E Austin St.,Nacogdoches,"M & S Pharmacy, 917 E Austin St., Nacogdoches"
170,diffwear,Clarion Couture,121 Hwy 25 S,Golden,"Clarion Couture, 121 Hwy 25 S, Golden"
171,diffwear,Sublime Telluride,"126 W Colorado ave, #102A",Telluride,"Sublime Telluride, 126 W Colorado ave, #102A, Telluride"
172,diffwear,Southern Blush,1203 Scurry St.,Big Spring,"Southern Blush, 1203 Scurry St., Big Spring"
173,diffwear,Rock & Co Boutique,901 C 103rd St North,Amory,"Rock & Co Boutique, 901 C 103rd St North, Amory"
174,diffwear,Kella Boutique,110 North Main Street,Amory,"Kella Boutique, 110 North Main Street, Amory"
175,diffwear,Iddy & Oscar's,133 Public Square,Lebanon,"Iddy & Oscar's, 133 Public Square, Lebanon"
176,diffwear,L.A Green,117 E Main St.,Starkville,"L.A Green, 117 E Main St., Starkville"
177,diffwear,Caboose Boutique & Gift Shop,2935 East oak St.,Jena,"Caboose Boutique & Gift Shop, 2935 East oak St., Jena"
178,diffwear,Peek Of Chic,3451 Edwards Rd,Cincinnati,"Peek Of Chic, 3451 Edwards Rd, Cincinnati"
179,diffwear,Wonderfully Made Boutique,18 W Auglaize St.,Wapakoneta,"Wonderfully Made Boutique, 18 W Auglaize St., Wapakoneta"
180,diffwear,Taylor Collection,2082 Main St.,Madison,"Taylor Collection, 2082 Main St., Madison"
181,diffwear,Pink Possum,105 Lexington dr Suite A,Madison,"Pink Possum, 105 Lexington dr Suite A, Madison"
182,diffwear,DSquared,4500 i 55 n suite 151,Jackson,"DSquared, 4500 i 55 n suite 151, Jackson"
183,diffwear,E. Leighs,"122 Marion, Suite 130",Lexington,"E. Leighs, 122 Marion, Suite 130, Lexington"
184,diffwear,Prissy Peach,882 E High St,lexington,"Prissy Peach, 882 E High St, lexington"
185,diffwear,Peggy's Gifts & Accessories,112 Clay Avenue,Lexington,"Peggy's Gifts & Accessories, 112 Clay Avenue, Lexington"
186,diffwear,Kademi,401 Center Ave,Philadelphia,"Kademi, 401 Center Ave, Philadelphia"
187,diffwear,Peppermint Pedi Parlor,8300 N FM 620,Austin,"Peppermint Pedi Parlor, 8300 N FM 620, Austin"
188,diffwear,The Dressing Room,122 The Crossings,Crossville,"The Dressing Room, 122 The Crossings, Crossville"
189,diffwear,Oh Yeah Boutique,13011 Shops Parkway Suite 100,Bee Cave,"Oh Yeah Boutique, 13011 Shops Parkway Suite 100, Bee Cave"
190,diffwear,River Loft Boutique,354 gunter ave,guntersville,"River Loft Boutique, 354 gunter ave, guntersville"
191,diffwear,I Just Have To Have It,4830 poplar springs dr,Meridian,"I Just Have To Have It, 4830 poplar springs dr, Meridian"
192,diffwear,The Stitch Shoppe,3310B FM 967 Ste 107A,Buda,"The Stitch Shoppe, 3310B FM 967 Ste 107A, Buda"
193,diffwear,One Hip Mom,9337 Spring Cypress Rd f,Spring,"One Hip Mom, 9337 Spring Cypress Rd f, Spring"
194,diffwear,Jul's Fashion Boutique,15210 Spring Cypress Ste. J,Cypress,"Jul's Fashion Boutique, 15210 Spring Cypress Ste. J, Cypress"
195,diffwear,Tula J Boutique,226 Main St.,Trussville,"Tula J Boutique, 226 Main St., Trussville"
196,diffwear,Ashe Clothing,400 Gault Ave South,Fort Payne,"Ashe Clothing, 400 Gault Ave South, Fort Payne"
197,diffwear,The Taylor Company- Pants Store,8029 parkway drive,Leeds,"The Taylor Company- Pants Store, 8029 parkway drive, Leeds"
198,diffwear,Southern Blessings,401 highway 80 E,Demopolis,"Southern Blessings, 401 highway 80 E, Demopolis"
199,diffwear,Trends and Traditions,1917 Dutton Dr STE 100,San Marcos,"Trends and Traditions, 1917 Dutton Dr STE 100, San Marcos"
200,diffwear,RueBird Market,23501 Chico Ranch Blvd.,Katy,"RueBird Market, 23501 Chico Ranch Blvd., Katy"
201,diffwear,Jubilee in the Heights,325 west 19th street,Houston,"Jubilee in the Heights, 325 west 19th street, Houston"
202,diffwear,Jackson's Jewelry & Gifts,105 N Mulberry,Butler,"Jackson's Jewelry & Gifts, 105 N Mulberry, Butler"
203,diffwear,Raine Hills,1308 common street suite 206,New Braunfels,"Raine Hills, 1308 common street suite 206, New Braunfels"
204,diffwear,The Village Shoppe,51 Main St.,Gilbertown,"The Village Shoppe, 51 Main St., Gilbertown"
205,diffwear,Grace Kellie Boutique,13567 Hooper Rd.,Baton Rouge,"Grace Kellie Boutique, 13567 Hooper Rd., Baton Rouge"
206,diffwear,Poppy Anns,106 N Duncan Ave.,Amite,"Poppy Anns, 106 N Duncan Ave., Amite"
207,diffwear,Adelaides Boutique Clear Lake,14870 Space Center Blvd.,Houston,"Adelaides Boutique Clear Lake, 14870 Space Center Blvd., Houston"
